"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2025 08:00:00 - 07/01/2025 09:00:00","BZN|ES","Without sequence","115.0","",""
"07/01/2025 09:00:00 - 07/01/2025 10:00:00","BZN|ES","Without sequence","105.18","",""
"07/01/2025 10:00:00 - 07/01/2025 11:00:00","BZN|ES","Without sequence","93.49","",""
"07/01/2025 11:00:00 - 07/01/2025 12:00:00","BZN|ES","Without sequence","74.93","",""
"07/01/2025 12:00:00 - 07/01/2025 13:00:00","BZN|ES","Without sequence","71.25","",""
"07/01/2025 13:00:00 - 07/01/2025 14:00:00","BZN|ES","Without sequence","71.62","",""
"07/01/2025 14:00:00 - 07/01/2025 15:00:00","BZN|ES","Without sequence","72.57","",""
"07/01/2025 15:00:00 - 07/01/2025 16:00:00","BZN|ES","Without sequence","85.0","",""
"07/01/2025 16:00:00 - 07/01/2025 17:00:00","BZN|ES","Without sequence","100.64","",""
"07/01/2025 17:00:00 - 07/01/2025 18:00:00","BZN|ES","Without sequence","118.34","",""
"07/01/2025 18:00:00 - 07/01/2025 19:00:00","BZN|ES","Without sequence","128.87","",""
"07/01/2025 19:00:00 - 07/01/2025 20:00:00","BZN|ES","Without sequence","125.0","",""
"07/01/2025 20:00:00 - 07/01/2025 21:00:00","BZN|ES","Without sequence","113.97","",""
"07/01/2025 21:00:00 - 07/01/2025 22:00:00","BZN|ES","Without sequence","110.76","",""
"07/01/2025 22:00:00 - 07/01/2025 23:00:00","BZN|ES","Without sequence","98.53","",""
"07/01/2025 23:00:00 - 08/01/2025 00:00:00","BZN|ES","Without sequence","89.27","",""
"08/01/2025 00:00:00 - 08/01/2025 01:00:00","BZN|ES","Without sequence","74.23","",""
"08/01/2025 01:00:00 - 08/01/2025 02:00:00","BZN|ES","Without sequence","69.5","",""
"08/01/2025 02:00:00 - 08/01/2025 03:00:00","BZN|ES","Without sequence","59.97","",""
"08/01/2025 03:00:00 - 08/01/2025 04:00:00","BZN|ES","Without sequence","53.0","",""
"08/01/2025 04:00:00 - 08/01/2025 05:00:00","BZN|ES","Without sequence","59.52","",""
"08/01/2025 05:00:00 - 08/01/2025 06:00:00","BZN|ES","Without sequence","70.2","",""
"08/01/2025 06:00:00 - 08/01/2025 07:00:00","BZN|ES","Without sequence","97.41","",""
"08/01/2025 07:00:00 - 08/01/2025 08:00:00","BZN|ES","Without sequence","124.39","",""
"08/01/2025 08:00:00 - 08/01/2025 09:00:00","BZN|ES","Without sequence","135.01","",""
"08/01/2025 09:00:00 - 08/01/2025 10:00:00","BZN|ES","Without sequence","130.01","",""
"08/01/2025 10:00:00 - 08/01/2025 11:00:00","BZN|ES","Without sequence","108.8","",""
"08/01/2025 11:00:00 - 08/01/2025 12:00:00","BZN|ES","Without sequence","104.46","",""
"08/01/2025 12:00:00 - 08/01/2025 13:00:00","BZN|ES","Without sequence","97.57","",""
"08/01/2025 13:00:00 - 08/01/2025 14:00:00","BZN|ES","Without sequence","90.79","",""
"08/01/2025 14:00:00 - 08/01/2025 15:00:00","BZN|ES","Without sequence","88.81","",""
"08/01/2025 15:00:00 - 08/01/2025 16:00:00","BZN|ES","Without sequence","90.01","",""
"08/01/2025 16:00:00 - 08/01/2025 17:00:00","BZN|ES","Without sequence","105.48","",""
"08/01/2025 17:00:00 - 08/01/2025 18:00:00","BZN|ES","Without sequence","113.75","",""
"08/01/2025 18:00:00 - 08/01/2025 19:00:00","BZN|ES","Without sequence","122.0","",""
"08/01/2025 19:00:00 - 08/01/2025 20:00:00","BZN|ES","Without sequence","131.0","",""
"08/01/2025 20:00:00 - 08/01/2025 21:00:00","BZN|ES","Without sequence","124.81","",""
"08/01/2025 21:00:00 - 08/01/2025 22:00:00","BZN|ES","Without sequence","112.66","",""
"08/01/2025 22:00:00 - 08/01/2025 23:00:00","BZN|ES","Without sequence","111.9","",""
"08/01/2025 23:00:00 - 09/01/2025 00:00:00","BZN|ES","Without sequence","98.77","",""
"09/01/2025 00:00:00 - 09/01/2025 01:00:00","BZN|ES","Without sequence","60.38","",""
"09/01/2025 01:00:00 - 09/01/2025 02:00:00","BZN|ES","Without sequence","49.9","",""
"09/01/2025 02:00:00 - 09/01/2025 03:00:00","BZN|ES","Without sequence","40.52","",""
"09/01/2025 03:00:00 - 09/01/2025 04:00:00","BZN|ES","Without sequence","25.61","",""
"09/01/2025 04:00:00 - 09/01/2025 05:00:00","BZN|ES","Without sequence","13.01","",""
"09/01/2025 05:00:00 - 09/01/2025 06:00:00","BZN|ES","Without sequence","30.29","",""
"09/01/2025 06:00:00 - 09/01/2025 07:00:00","BZN|ES","Without sequence","60.08","",""
"09/01/2025 07:00:00 - 09/01/2025 08:00:00","BZN|ES","Without sequence","90.79","",""
"09/01/2025 08:00:00 - 09/01/2025 09:00:00","BZN|ES","Without sequence","100.99","",""
"09/01/2025 09:00:00 - 09/01/2025 10:00:00","BZN|ES","Without sequence","102.44","",""
"09/01/2025 10:00:00 - 09/01/2025 11:00:00","BZN|ES","Without sequence","97.45","",""
"09/01/2025 11:00:00 - 09/01/2025 12:00:00","BZN|ES","Without sequence","90.41","",""
"09/01/2025 12:00:00 - 09/01/2025 13:00:00","BZN|ES","Without sequence","88.34","",""
"09/01/2025 13:00:00 - 09/01/2025 14:00:00","BZN|ES","Without sequence","79.9","",""
"09/01/2025 14:00:00 - 09/01/2025 15:00:00","BZN|ES","Without sequence","79.05","",""
"09/01/2025 15:00:00 - 09/01/2025 16:00:00","BZN|ES","Without sequence","85.09","",""
"09/01/2025 16:00:00 - 09/01/2025 17:00:00","BZN|ES","Without sequence","109.4","",""
"09/01/2025 17:00:00 - 09/01/2025 18:00:00","BZN|ES","Without sequence","131.62","",""
"09/01/2025 18:00:00 - 09/01/2025 19:00:00","BZN|ES","Without sequence","135.73","",""
"09/01/2025 19:00:00 - 09/01/2025 20:00:00","BZN|ES","Without sequence","135.01","",""
"09/01/2025 20:00:00 - 09/01/2025 21:00:00","BZN|ES","Without sequence","141.27","",""
"09/01/2025 21:00:00 - 09/01/2025 22:00:00","BZN|ES","Without sequence","135.01","",""
"09/01/2025 22:00:00 - 09/01/2025 23:00:00","BZN|ES","Without sequence","114.38","",""
"09/01/2025 23:00:00 - 10/01/2025 00:00:00","BZN|ES","Without sequence","101.0","",""
"10/01/2025 00:00:00 - 10/01/2025 01:00:00","BZN|ES","Without sequence","98.11","",""
"10/01/2025 01:00:00 - 10/01/2025 02:00:00","BZN|ES","Without sequence","80.25","",""
"10/01/2025 02:00:00 - 10/01/2025 03:00:00","BZN|ES","Without sequence","72.09","",""
"10/01/2025 03:00:00 - 10/01/2025 04:00:00","BZN|ES","Without sequence","69.94","",""
"10/01/2025 04:00:00 - 10/01/2025 05:00:00","BZN|ES","Without sequence","70.07","",""
"10/01/2025 05:00:00 - 10/01/2025 06:00:00","BZN|ES","Without sequence","85.06","",""
"10/01/2025 06:00:00 - 10/01/2025 07:00:00","BZN|ES","Without sequence","101.8","",""
"10/01/2025 07:00:00 - 10/01/2025 08:00:00","BZN|ES","Without sequence","126.12","",""
"10/01/2025 08:00:00 - 10/01/2025 09:00:00","BZN|ES","Without sequence","140.33","",""
"10/01/2025 09:00:00 - 10/01/2025 10:00:00","BZN|ES","Without sequence","137.22","",""
"10/01/2025 10:00:00 - 10/01/2025 11:00:00","BZN|ES","Without sequence","123.57","",""
"10/01/2025 11:00:00 - 10/01/2025 12:00:00","BZN|ES","Without sequence","113.59","",""
"10/01/2025 12:00:00 - 10/01/2025 13:00:00","BZN|ES","Without sequence","107.43","",""
"10/01/2025 13:00:00 - 10/01/2025 14:00:00","BZN|ES","Without sequence","105.01","",""
"10/01/2025 14:00:00 - 10/01/2025 15:00:00","BZN|ES","Without sequence","108.18","",""
"10/01/2025 15:00:00 - 10/01/2025 16:00:00","BZN|ES","Without sequence","111.61","",""
"10/01/2025 16:00:00 - 10/01/2025 17:00:00","BZN|ES","Without sequence","118.76","",""
"10/01/2025 17:00:00 - 10/01/2025 18:00:00","BZN|ES","Without sequence","132.58","",""
"10/01/2025 18:00:00 - 10/01/2025 19:00:00","BZN|ES","Without sequence","144.28","",""
"10/01/2025 19:00:00 - 10/01/2025 20:00:00","BZN|ES","Without sequence","141.27","",""
"10/01/2025 20:00:00 - 10/01/2025 21:00:00","BZN|ES","Without sequence","134.83","",""
