"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|PT","Without sequence","80.24","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|PT","Without sequence","55.46","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|PT","Without sequence","45.82","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|PT","Without sequence","48.5","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|PT","Without sequence","74.29","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|PT","Without sequence","89.78","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|PT","Without sequence","104.79","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|PT","Without sequence","140.0","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|PT","Without sequence","140.0","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|PT","Without sequence","120.0","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|PT","Without sequence","69.77","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|PT","Without sequence","69.77","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|PT","Without sequence","57.96","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|PT","Without sequence","14.0","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|PT","Without sequence","92.52","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|PT","Without sequence","159.9","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|PT","Without sequence","207.9","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|PT","Without sequence","240.0","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|PT","Without sequence","230.82","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|PT","Without sequence","214.02","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|PT","Without sequence","215.88","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|PT","Without sequence","205.6","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|PT","Without sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|PT","Without sequence","165.0","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|PT","Without sequence","158.7","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|PT","Without sequence","159.3","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|PT","Without sequence","160.1","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|PT","Without sequence","173.01","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|PT","Without sequence","200.1","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|PT","Without sequence","228.46","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|PT","Without sequence","234.74","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|PT","Without sequence","240.0","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|PT","Without sequence","238.76","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|PT","Without sequence","228.38","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|PT","Without sequence","222.53","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|PT","Without sequence","216.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|PT","Without sequence","206.01","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|PT","Without sequence","200.99","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|PT","Without sequence","223.0","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|PT","Without sequence","256.01","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|PT","Without sequence","286.4","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|PT","Without sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|PT","Without sequence","267.45","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|PT","Without sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|PT","Without sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|PT","Without sequence","198.93","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|PT","Without sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|PT","Without sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|PT","Without sequence","197.6","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|PT","Without sequence","193.0","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|PT","Without sequence","194.9","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|PT","Without sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|PT","Without sequence","219.32","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|PT","Without sequence","228.38","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|PT","Without sequence","249.97","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|PT","Without sequence","249.97","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|PT","Without sequence","242.47","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|PT","Without sequence","212.2","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|PT","Without sequence","207.1","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|PT","Without sequence","207.0","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|PT","Without sequence","206.8","",""
