"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|FR","Without sequence","129.25","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|FR","Without sequence","129.99","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|FR","Without sequence","122.01","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|FR","Without sequence","114.16","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|FR","Without sequence","102.62","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|FR","Without sequence","99.84","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|FR","Without sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|FR","Without sequence","85.83","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|FR","Without sequence","84.65","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|FR","Without sequence","85.0","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|FR","Without sequence","83.98","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|FR","Without sequence","83.63","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|FR","Without sequence","88.65","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|FR","Without sequence","102.79","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|FR","Without sequence","116.14","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|FR","Without sequence","131.42","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|FR","Without sequence","120.75","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|FR","Without sequence","110.32","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|FR","Without sequence","103.13","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|FR","Without sequence","95.39","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|FR","Without sequence","95.77","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|FR","Without sequence","105.16","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|FR","Without sequence","114.75","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|FR","Without sequence","124.29","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|FR","Without sequence","137.35","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|FR","Without sequence","137.0","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|FR","Without sequence","130.05","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|FR","Without sequence","117.67","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|FR","Without sequence","107.69","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|FR","Without sequence","101.83","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|FR","Without sequence","94.84","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|FR","Without sequence","85.3","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|FR","Without sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|FR","Without sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|FR","Without sequence","84.75","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|FR","Without sequence","85.0","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|FR","Without sequence","86.3","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|FR","Without sequence","102.6","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|FR","Without sequence","119.26","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|FR","Without sequence","139.2","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|FR","Without sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|FR","Without sequence","117.47","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|FR","Without sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|FR","Without sequence","99.99","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|FR","Without sequence","101.25","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|FR","Without sequence","106.1","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|FR","Without sequence","119.77","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|FR","Without sequence","133.14","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|FR","Without sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|FR","Without sequence","140.0","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|FR","Without sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|FR","Without sequence","120.0","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|FR","Without sequence","107.71","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|FR","Without sequence","101.32","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|FR","Without sequence","92.68","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|FR","Without sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|FR","Without sequence","88.59","",""
